                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9535,                 11.571,                0.78351,                 5.2709,                 1.8358,                0.01786,                    0.5,                 0.0293,                0.02051,                      0,                      0,                      0,                      0,                 0.9612,                 11.868,                0.86779,                 3.9555,                 1.0215,                  4e-05,                  4e-05,                  4e-05
                      2,                  1.934,                 11.362,                0.76356,                 5.0329,                 1.8735,                0.01695,                    0.5,                0.02029,                 0.0142,                      0,                      0,                      0,                      0,                0.97798,                 11.879,                0.86312,                  4.082,                 1.0274,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      3,                  1.822,                 11.585,                0.76574,                 5.1303,                  1.747,                0.92742,                      1,                  0.995,                0.84554,                      0,                      0,                      0,                      0,                0.78313,                 11.581,                0.74432,                 2.2671,                 1.0127,             0.00015937,             0.00015937,             0.00015937
                      4,                  1.048,                 11.498,                0.74751,                 1.6411,                 1.0505,                      1,                      1,                  0.995,                0.84567,                      0,                      0,                      0,                      0,                0.64162,                  11.32,                0.67753,                 2.7561,                0.94246,             0.00021869,             0.00021869,             0.00021869
                      5,                0.93683,                 11.369,                0.66334,                 1.1201,                0.99079,                0.97046,                    0.5,                0.49811,                0.49811,                      0,                      0,                      0,                      0,                 0.3684,                 11.313,                0.58333,                 1.3421,                0.76901,             0.00027778,             0.00027778,             0.00027778
                      6,                0.83921,                 11.079,                0.64186,                0.72073,                0.93258,                 0.9825,                      1,                  0.995,                 0.8955,                      0,                      0,                      0,                      0,                0.53324,                 10.878,                  0.553,                0.46951,                0.87872,             0.00033663,             0.00033663,             0.00033663
                      7,                0.83154,                 10.926,                 0.6363,                0.73348,                0.96117,                0.73966,                      1,                  0.995,                0.84612,                      0,                      0,                      0,                      0,                0.77151,                 10.256,                 0.5351,                 1.1236,                 0.8988,             0.00039525,             0.00039525,             0.00039525
                      8,                0.78307,                  10.96,                0.63213,                0.76508,                0.95106,                0.98288,                      1,                  0.995,                0.84805,                      0,                      0,                      0,                      0,                0.77132,                  10.61,                0.51828,                0.79072,                0.92133,             0.00045362,             0.00045362,             0.00045362
                      9,                0.77225,                 10.391,                0.63365,                 0.8511,                0.93937,                    0.5,                      1,                0.82833,                0.66267,                      0,                      0,                      0,                      0,                 1.0898,                 11.574,                0.51038,                  13.53,                 2.2106,             0.00051176,             0.00051176,             0.00051176
                     10,                0.89197,                 10.707,                0.61084,                0.82625,                 0.9031,                      1,                      1,                  0.995,                0.69667,                      0,                      0,                      0,                      0,                 1.4266,                 11.618,                0.53432,                 5.9525,                 2.7803,             0.00056966,             0.00056966,             0.00056966
                     11,                0.93379,                 10.146,                0.61211,                0.84666,                0.95909,                0.14231,                      1,                0.16583,                0.02828,                      0,                      0,                      0,                      0,                 3.6528,                 11.653,                0.49922,                 55.562,                 6.5112,             0.00062733,             0.00062733,             0.00062733
                     12,                0.81101,                 10.296,                0.60791,                0.77146,                0.96531,                    0.2,                      1,                  0.695,                0.15193,                      0,                      0,                      0,                      0,                 3.0168,                 11.009,                0.43739,                 40.712,                 4.3698,             0.00068475,             0.00068475,             0.00068475
                     13,                0.85186,                 10.358,                0.61267,                 0.6938,                 1.0279,                    0.2,                      1,                  0.695,                0.15193,                      0,                      0,                      0,                      0,                 6.6457,                 11.583,                0.90723,                 12.945,                 4.8308,             0.00074194,             0.00074194,             0.00074194
                     14,                0.84642,                 9.7758,                0.58151,                0.70647,                0.95569,                    0.2,                      1,                  0.695,                0.15193,                      0,                      0,                      0,                      0,                      0,                  11.94,                 1.8877,                0.41504,                      0,             0.00079889,             0.00079889,             0.00079889
                     15,                0.84332,                 9.8575,                0.55685,                0.73484,                0.93925,                    0.2,                      1,                  0.695,                0.15193,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 121.94,                      0,             0.00085561,             0.00085561,             0.00085561
                     16,                0.82374,                 9.5969,                0.56292,                 0.6291,                0.93727,                    0.2,                      1,                  0.695,                0.15193,                      0,                      0,                      0,                      0,                  9e-05,                 11.285,                0.73531,                    812,                0.00023,             0.00091208,             0.00091208,             0.00091208
                     17,                0.81459,                  10.08,                0.60214,                0.66166,                0.99978,                    0.2,                      1,                  0.695,                0.15193,                      0,                      0,                      0,                      0,                 5.2395,                 11.957,                0.34359,                 2316.4,                 8.5229,             0.00096832,             0.00096832,             0.00096832
                     18,                0.86001,                  9.862,                0.59074,                0.64469,                0.97951,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                 4.5564,                 11.998,                0.51221,                 4236.3,                  11.02,              0.0010243,              0.0010243,              0.0010243
                     19,                0.82436,                 8.9235,                0.57998,                0.71738,                 1.0078,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                 6.0461,                     12,                0.51687,                   6766,                 37.277,              0.0010801,              0.0010801,              0.0010801
                     20,                0.83684,                 9.3365,                0.57865,                0.63537,                0.95676,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   2037,                      0,              0.0011356,              0.0011356,              0.0011356
                     21,                0.79764,                  9.397,                0.53015,                0.60563,                0.96267,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   3714,                      0,              0.0011909,              0.0011909,              0.0011909
                     22,                0.71567,                 8.9327,                0.56265,                0.58121,                0.95744,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   1360,                      0,              0.0012459,              0.0012459,              0.0012459
                     23,                0.73626,                 9.0116,                0.55801,                0.65705,                0.91476,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013008,              0.0013008,              0.0013008
                     24,                0.91353,                 8.7475,                0.56385,                 0.6889,                 1.0189,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0013553,              0.0013553,              0.0013553
                     25,                0.75528,                 8.6776,                0.53446,                0.61226,                0.94053,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0014097,              0.0014097,              0.0014097
                     26,                0.68308,                 8.6403,                0.54964,                0.58911,                 0.8929,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0014638,              0.0014638,              0.0014638
                     27,                0.82498,                 8.6208,                0.56867,                0.70956,                0.96901,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0015176,              0.0015176,              0.0015176
                     28,                0.75792,                 8.2442,                 0.5222,                0.64227,                0.94604,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0015713,              0.0015713,              0.0015713
                     29,                0.88095,                 8.2445,                 0.5252,                0.74317,                0.99475,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0016246,              0.0016246,              0.0016246
                     30,                0.88787,                 8.1414,                0.52741,                0.66353,                0.98691,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0016778,              0.0016778,              0.0016778
                     31,                0.92076,                 7.6752,                0.55728,                0.65562,                  1.018,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0017307,              0.0017307,              0.0017307
                     32,                0.92461,                 8.0575,                0.53205,                0.66442,                 1.0048,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0017834,              0.0017834,              0.0017834
                     33,                0.84255,                 8.3776,                 0.5097,                0.64206,                0.97973,                0.00167,                    0.5,                0.07114,                0.00711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0018358,              0.0018358,              0.0018358
                     34,                0.81966,                 7.8987,                0.48952,                0.59054,                  1.008,                0.00333,                      1,                0.25064,                0.07539,                      0,                      0,                      0,                      0,                 2.8486,                     12,                      0,                    inf,                 245.86,              0.0018693,              0.0018693,              0.0018693
                     35,                0.82268,                 8.3299,                0.54439,                 0.6717,                0.96842,                0.00333,                      1,                0.25064,                0.07539,                      0,                      0,                      0,                      0,                 4.5473,                     12,                      0,                    inf,                 281.96,              0.0018654,              0.0018654,              0.0018654
                     36,                0.99321,                 8.1674,                0.49158,                 0.6587,                 1.0648,                0.00333,                      1,                0.25064,                0.07539,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0018614,              0.0018614,              0.0018614
                     37,                 0.9167,                 8.0191,                 0.5355,                0.66357,                0.98768,                0.00333,                      1,                0.25064,                0.07539,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0018574,              0.0018574,              0.0018574
                     38,                0.78707,                 7.6609,                0.50959,                0.62314,                0.98069,                0.00333,                      1,                 0.0103,                0.00402,                      0,                      0,                      0,                      0,                 2.8052,                 11.986,                0.03675,                    inf,                   9.37,              0.0018535,              0.0018535,              0.0018535
                     39,                0.79338,                 7.2262,                  0.508,                0.61566,                 0.9584,                0.00333,                      1,                 0.0103,                0.00402,                      0,                      0,                      0,                      0,                 6.2792,                 11.065,                0.49295,                    inf,                   12.3,              0.0018495,              0.0018495,              0.0018495
                     40,                0.81047,                 8.3385,                0.50806,                0.60692,                 0.9644,                0.07561,                    0.5,                 0.0712,                0.04984,                      0,                      0,                      0,                      0,                  1.224,                 9.7535,                0.36628,                 16.173,                  1.441,              0.0018456,              0.0018456,              0.0018456
                     41,                0.87127,                 7.4983,                0.52015,                0.63585,                0.94999,                0.07561,                    0.5,                 0.0712,                0.04984,                      0,                      0,                      0,                      0,                  1.224,                 9.7535,                0.36628,                 16.173,                  1.441,              0.0018416,              0.0018416,              0.0018416
                     42,                0.90778,                 7.2936,                0.54411,                0.68108,                  1.017,                      1,                    0.5,                0.49612,                0.30328,                      0,                      0,                      0,                      0,                0.92638,                 9.1413,                0.22564,                 11.122,                 1.3673,              0.0018376,              0.0018376,              0.0018376
