                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6017,                 11.583,                0.77339,                 4.5478,                 1.6733,                0.34418,                   0.25,                0.29816,                0.23853,                      0,                      0,                      0,                      0,                   1.47,                 11.688,                0.81737,                   3.71,                 1.4812,                  8e-05,                  8e-05,                  8e-05
                      2,                  1.637,                 11.455,                0.77793,                 4.5948,                 1.6804,                0.50295,                   0.75,                0.53263,                0.32799,                      0,                      0,                      0,                      0,                0.91297,                 11.447,                0.73592,                 4.1003,                 0.8799,             0.00017964,             0.00017964,             0.00017964
                      3,                 1.2717,                 11.154,                0.75718,                 1.7795,                 1.1762,                0.50295,                   0.75,                0.53263,                0.32799,                      0,                      0,                      0,                      0,                  3.539,                 11.457,                 0.6361,                  6.888,                  2.902,             0.00027889,             0.00027889,             0.00027889
                      4,                0.89445,                 10.821,                  0.729,                 1.7208,                  0.947,                0.50295,                   0.75,                0.53263,                0.32799,                      0,                      0,                      0,                      0,                0.08873,                 11.944,                0.81149,                0.32666,                0.07837,             0.00037774,             0.00037774,             0.00037774
                      5,                0.91001,                 10.527,                0.69617,                0.85051,                0.97451,                0.50295,                   0.75,                0.53263,                0.32799,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    639,                      0,              0.0004762,              0.0004762,              0.0004762
                      6,                0.86925,                 10.308,                0.67046,                 0.7399,                0.94716,                0.50295,                   0.75,                0.53263,                0.32799,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    739,                      0,             0.00057426,             0.00057426,             0.00057426
                      7,                0.90649,                 9.6584,                0.66031,                0.74875,                0.99035,                0.50295,                   0.75,                0.53263,                0.32799,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067192,             0.00067192,             0.00067192
                      8,                0.78513,                 9.5004,                0.64463,                0.76877,                0.92479,                0.50295,                   0.75,                0.53263,                0.32799,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00076919,             0.00076919,             0.00076919
                      9,                0.86567,                 8.8324,                0.64841,                 1.1609,                 1.0059,                0.00083,                   0.25,                0.00052,                  5e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00086606,             0.00086606,             0.00086606
                     10,                0.93694,                 9.0962,                 0.6269,                0.95854,                 1.0252,                0.00083,                   0.25,                0.00052,                  5e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00096254,             0.00096254,             0.00096254
                     11,                 1.0553,                 8.8998,                0.61846,                0.89425,                 1.0088,                0.00083,                   0.25,                0.00052,                  5e-05,                      0,                      0,                      0,                      0,                    nan,                     12,                   1416,                    nan,                    nan,              0.0010586,              0.0010586,              0.0010586
                     12,                 1.0458,                  8.194,                0.61833,                0.97167,                 1.0356,                0.00083,                   0.25,                0.00052,                  5e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0011543,              0.0011543,              0.0011543
                     13,                 1.0381,                 9.0081,                 0.6132,                0.86377,                 1.0332,                0.00083,                   0.25,                0.00052,                  5e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0012496,              0.0012496,              0.0012496
                     14,                0.95299,                 8.6932,                0.60503,                  1.066,                 1.0407,                0.00083,                   0.25,                0.00052,                  5e-05,                      0,                      0,                      0,                      0,                    nan,                     12,                 1116.8,                    nan,                    nan,              0.0013445,              0.0013445,              0.0013445
