                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2618,                 11.342,                0.74099,                 5.6831,                 2.2827,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.3151,                  11.67,                0.69664,                 4.5997,                 1.2295,                0.00012,                0.00012,                0.00012
                      2,                 1.4747,                  11.43,                0.74831,                 2.7093,                  1.446,                0.37194,                      1,                   0.83,                0.71422,                      0,                      0,                      0,                      0,                 0.9589,                 11.166,                0.61511,                 3.6132,                 1.0734,             0.00025949,             0.00025949,             0.00025949
                      3,                 1.1295,                 10.673,                0.65057,                 1.0462,                 1.0701,                      1,                      1,                  0.995,                 0.6871,                      0,                      0,                      0,                      0,                  1.591,                 10.851,                0.64444,                 2.0971,                 1.1409,             0.00039842,             0.00039842,             0.00039842
                      4,                0.99294,                 9.9243,                0.63656,                0.82892,                 1.0658,                0.79541,                0.66667,                  0.863,                0.53144,                      0,                      0,                      0,                      0,                 1.6825,                 10.682,                0.63145,                 2.0525,                   1.49,             0.00053679,             0.00053679,             0.00053679
                      5,                 1.1364,                 9.7461,                0.62889,                 1.4371,                 1.1256,                0.79541,                0.66667,                  0.863,                0.53144,                      0,                      0,                      0,                      0,                 4.5614,                 10.973,                0.64513,                 432.72,                 5.0439,             0.00067461,             0.00067461,             0.00067461
                      6,                 1.0045,                 9.1834,                0.61407,                0.95121,                 1.0988,                0.79541,                0.66667,                  0.863,                0.53144,                      0,                      0,                      0,                      0,                 5.3798,                 10.873,                0.91625,                 49.591,                  4.947,             0.00081188,             0.00081188,             0.00081188
                      7,                0.97321,                 9.1736,                0.60846,                0.87139,                 1.0925,                0.79541,                0.66667,                  0.863,                0.53144,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0009486,              0.0009486,              0.0009486
                      8,                 1.0504,                  8.519,                0.58251,                 0.8499,                 1.1128,                0.79541,                0.66667,                  0.863,                0.53144,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0010848,              0.0010848,              0.0010848
                      9,                 1.0152,                 8.1769,                0.58166,                0.86677,                 1.0637,                0.79541,                0.66667,                  0.863,                0.53144,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  10688,                      0,              0.0012204,              0.0012204,              0.0012204
                     10,                  1.038,                 7.7523,                0.58447,                0.84863,                  1.078,                0.79541,                0.66667,                  0.863,                0.53144,                      0,                      0,                      0,                      0,                 4.6472,                 11.228,                0.34407,                 460.77,                 9.6719,              0.0013554,              0.0013554,              0.0013554
                     11,                 1.0244,                 7.4949,                0.50381,                0.85482,                 1.1229,                0.79541,                0.66667,                  0.863,                0.53144,                      0,                      0,                      0,                      0,                 4.3249,                 10.324,                0.61186,                 222.01,                 4.2481,              0.0014899,              0.0014899,              0.0014899
